sku_key,name,cost_price,sale_price,stock,last_buy_date
pneu-17570r13-goodyear-assurance,Pneu goodyear Assurance Max life,340.99,501.00,30,2025-07-01
pneu-17570r13-goodyear-kelly,Pneu goodyear Kelly Edge,269.99,400.00,206,2025-07-01
pneu-17570r13-dunlop-sp-touring,Pneu dunlop SP touring R1,273.90,403.00,52,2025-07-28
pneu-17570r13-goodyear-assurance,Pneu goodyear Assurance Max life,340.99,501.00,30,2025-07-01
pneu-17570r13-goodyear-kelly,Pneu goodyear Kelly Edge,269.99,400.00,206,2025-07-01
pneu-17570r13-dunlop-sp-touring,Pneu dunlop SP touring R1,277.90,408.00,12,2025-06-30
