canonical_key,brand,model,size,n_listings,marketplaces,min_price,max_price,mean_price,median_price,p10,p90,media_correta,evidence_files
GOODYEAR|175-65-r14|assurance,GOODYEAR,assurance,175-65-r14,2,pneustore,356.79,356.79,356.79,356.79,356.79,356.79,356.79,"user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/175-65-r14/pneu-175-65-r14-goodyear-assurance_20250801_153342.json,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/175-65-r14/pneu-17565r14-goodyear-assurance_20250808_152659.csv"
GOODYEAR|175-70-r13|assurance,GOODYEAR,assurance,175-70-r13,4,pneustore,391.01,399.9,395.455,395.455,391.01,399.9,395.455,"user/Desktop/Precificação_AI/ETL/data/raw/pneustore/pneu-17570r13-goodyear-assurance_20250724_170137.json,user/Desktop/Precificação_AI/ETL/data/raw/pneustore/pneu-17570r13-goodyear-assurance_20250725_095519.json,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/175-70-r13/pneu-175-70-r13-goodyear-assurance_20250801_151239.json,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/175-70-r13/pneu-17570r13-goodyear-assurance_20250808_153359.csv"
GOODYEAR|175-70-r14|assurance,GOODYEAR,assurance,175-70-r14,3,pneustore,439.9,454.57,449.68,454.57,442.834,454.57,454.57,"user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/175-70-r14/pneu-175-70-r14-goodyear-assurance_20250801_145827.json,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/175-70-r14/pneu-17570r14-goodyear-assurance_20250808_154223.csv"
GOODYEAR|185-65-r14|assurance,GOODYEAR,assurance,185-65-r14,1,pneustore,488.79,488.79,488.79,488.79,488.79,488.79,488.79,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/185-65-r14/pneu-18565r14-goodyear-assurance_20250808_160812.csv
GOODYEAR|185-70-r14|assurance,GOODYEAR,assurance,185-70-r14,1,pneustore,498.57,498.57,498.57,498.57,498.57,498.57,498.57,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/185-70-r14/pneu-18570r14-goodyear-assurance_20250808_162258.csv
GOODYEAR|185-65-r15|eagle,GOODYEAR,eagle,185-65-r15,1,pneustore,532.79,532.79,532.79,532.79,532.79,532.79,532.79,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/185-65-r15/pneu-18565r15-goodyear-eagle_20250808_161557.csv
GOODYEAR|185-55-r16|eagle sport,GOODYEAR,eagle sport,185-55-r16,1,pneustore,606.13,606.13,606.13,606.13,606.13,606.13,606.13,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/185-55-r16/pneu-18555r16-goodyear-eagle_20250808_154859.csv
GOODYEAR|185-60-r15|eagle sport,GOODYEAR,eagle sport,185-60-r15,1,pneustore,498.57,498.57,498.57,498.57,498.57,498.57,498.57,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/185-60-r15/pneu-18560r15-goodyear-eagle_20250808_160343.csv
GOODYEAR|185-65-r15|eagle sport,GOODYEAR,eagle sport,185-65-r15,1,pneustore,523.01,523.01,523.01,523.01,523.01,523.01,523.01,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/185-65-r15/pneu-18565r15-goodyear-eagle_20250808_161557.csv
GOODYEAR|195-55-r15|eagle sport,GOODYEAR,eagle sport,195-55-r15,1,pneustore,498.57,498.57,498.57,498.57,498.57,498.57,498.57,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/195-55-r15/pneu-19555r15-goodyear-eagle_20250808_163741.csv
GOODYEAR|195-55-r16|eagle sport,GOODYEAR,eagle sport,195-55-r16,1,pneustore,601.23,601.23,601.23,601.23,601.23,601.23,601.23,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/195-55-r16/pneu-19555r16-goodyear-eagle_20250808_165815.csv
