cod_prod;brand;line_model;width;aspect;rim;size_norm;original_label;query_strict;keywords;size_regex;ean_gtin
23142;Aderenza;Perform;195;40;17;195 40 r17;;pneu 195 40 r17 Aderenza Perform;['195/40R17', '195 40 R17', 'Aderenza', 'Perform'];\b195[/\s-]?40\s*R?\s*17\b;23142
48630;Aderenza;Speedline D2;185;65;15;185 65 r15;;pneu 185 65 r15 Aderenza Speedline D2;['185/65R15', '185 65 R15', 'Aderenza', 'Speedline D2'];\b185[/\s-]?65\s*R?\s*15\b;48630
32522;Anteo;At59;900;20;14;900 20 r14;;pneu 900 20 r14 Anteo At59;['900/20R14', '900 20 R14', 'Anteo', 'At59'];\b900[/\s-]?20\s*R?\s*14\b;32522
31104;Aplus;A607;215;55;16;215 55 r16;;pneu 215 55 r16 Aplus A607;['215/55R16', '215 55 R16', 'Aplus', 'A607'];\b215[/\s-]?55\s*R?\s*16\b;31104
24289;Aplus;A609;235;60;16;235 60 r16;;pneu 235 60 r16 Aplus A609;['235/60R16', '235 60 R16', 'Aplus', 'A609'];\b235[/\s-]?60\s*R?\s*16\b;24289
48047;Aplus;A609 (100H);225;70;15;225 70 r15;;pneu 225 70 r15 Aplus A609 (100H);['225/70R15', '225 70 R15', 'Aplus', 'A609 (100H)'];\b225[/\s-]?70\s*R?\s*15\b;48047
46858;Aplus;A610;205;55;17;205 55 r17;;pneu 205 55 r17 Aplus A610;['205/55R17', '205 55 R17', 'Aplus', 'A610'];\b205[/\s-]?55\s*R?\s*17\b;46858
47891;Aplus;A610;225;50;18;225 50 r18;;pneu 225 50 r18 Aplus A610;['225/50R18', '225 50 R18', 'Aplus', 'A610'];\b225[/\s-]?50\s*R?\s*18\b;47891
24500;Aplus;A610;235;45;18;235 45 r18;;pneu 235 45 r18 Aplus A610;['235/45R18', '235 45 R18', 'Aplus', 'A610'];\b235[/\s-]?45\s*R?\s*18\b;24500
45879;Aplus;A610;235;45;19;235 45 r19;;pneu 235 45 r19 Aplus A610;['235/45R19', '235 45 R19', 'Aplus', 'A610'];\b235[/\s-]?45\s*R?\s*19\b;45879
48045;Aplus;A610 (103Y);235;50;19;235 50 r19;;pneu 235 50 r19 Aplus A610 (103Y);['235/50R19', '235 50 R19', 'Aplus', 'A610 (103Y)'];\b235[/\s-]?50\s*R?\s*19\b;48045
43982;Aplus;A919;225;60;17;225 60 r17;;pneu 225 60 r17 Aplus A919;['225/60R17', '225 60 R17', 'Aplus', 'A919'];\b225[/\s-]?60\s*R?\s*17\b;43982
48257;Aplus;A919;225;70;16;225 70 r16;;pneu 225 70 r16 Aplus A919;['225/70R16', '225 70 R16', 'Aplus', 'A919'];\b225[/\s-]?70\s*R?\s*16\b;48257
22137;Aplus;A919;235;60;17;235 60 r17;;pneu 235 60 r17 Aplus A919;['235/60R17', '235 60 R17', 'Aplus', 'A919'];\b235[/\s-]?60\s*R?\s*17\b;22137
25770;Aplus;A919;265;70;16;265 70 r16;;pneu 265 70 r16 Aplus A919;['265/70R16', '265 70 R16', 'Aplus', 'A919'];\b265[/\s-]?70\s*R?\s*16\b;25770
47172;Aptany;Ra301;195;40;17;195 40 r17;;pneu 195 40 r17 Aptany Ra301;['195/40R17', '195 40 R17', 'Aptany', 'Ra301'];\b195[/\s-]?40\s*R?\s*17\b;47172
47548;Aptany;Ra301;215;45;18;215 45 r18;;pneu 215 45 r18 Aptany Ra301;['215/45R18', '215 45 R18', 'Aptany', 'Ra301'];\b215[/\s-]?45\s*R?\s*18\b;47548
41774;Aptany;Ra301;225;45;17;225 45 r17;;pneu 225 45 r17 Aptany Ra301;['225/45R17', '225 45 R17', 'Aptany', 'Ra301'];\b225[/\s-]?45\s*R?\s*17\b;41774
46286;Aptany;Ra301;225;50;17;225 50 r17;;pneu 225 50 r17 Aptany Ra301;['225/50R17', '225 50 R17', 'Aptany', 'Ra301'];\b225[/\s-]?50\s*R?\s*17\b;46286
48316;Aptany;Ra301;235;55;17;235 55 r17;;pneu 235 55 r17 Aptany Ra301;['235/55R17', '235 55 R17', 'Aptany', 'Ra301'];\b235[/\s-]?55\s*R?\s*17\b;48316
48317;Aptany;Ra301;235;55;19;235 55 r19;;pneu 235 55 r19 Aptany Ra301;['235/55R19', '235 55 R19', 'Aptany', 'Ra301'];\b235[/\s-]?55\s*R?\s*19\b;48317
42165;Aptany;Ra305;205;55;17;205 55 r17;;pneu 205 55 r17 Aptany Ra305;['205/55R17', '205 55 R17', 'Aptany', 'Ra305'];\b205[/\s-]?55\s*R?\s*17\b;42165
27789;Aptany;Rl101;225;75;16;225 75 r16;;pneu 225 75 r16 Aptany Rl101;['225/75R16', '225 75 R16', 'Aptany', 'Rl101'];\b225[/\s-]?75\s*R?\s*16\b;27789
44401;Aptany;Rp203;175;75;14;175 75 r14;;pneu 175 75 r14 Aptany Rp203;['175/75R14', '175 75 R14', 'Aptany', 'Rp203'];\b175[/\s-]?75\s*R?\s*14\b;44401
27554;Aptany;Rp203;185;60;14;185 60 r14;;pneu 185 60 r14 Aptany Rp203;['185/60R14', '185 60 R14', 'Aptany', 'Rp203'];\b185[/\s-]?60\s*R?\s*14\b;27554
27211;Aptany;Rp203;205;60;16;205 60 r16;;pneu 205 60 r16 Aptany Rp203;['205/60R16', '205 60 R16', 'Aptany', 'Rp203'];\b205[/\s-]?60\s*R?\s*16\b;27211
45677;Aptany;Ru006 At;205;65;15;205 65 r15;;pneu 205 65 r15 Aptany Ru006 At;['205/65R15', '205 65 R15', 'Aptany', 'Ru006 At'];\b205[/\s-]?65\s*R?\s*15\b;45677
48023;Aptany;Ru025;215;60;17;215 60 r17;;pneu 215 60 r17 Aptany Ru025;['215/60R17', '215 60 R17', 'Aptany', 'Ru025'];\b215[/\s-]?60\s*R?\s*17\b;48023
46284;Aptany;Ru025;265;70;16;265 70 r16;;pneu 265 70 r16 Aptany Ru025;['265/70R16', '265 70 R16', 'Aptany', 'Ru025'];\b265[/\s-]?70\s*R?\s*16\b;46284
45848;Aptany;Ru025 Ht;265;65;17;265 65 r17;;pneu 265 65 r17 Aptany Ru025 Ht;['265/65R17', '265 65 R17', 'Aptany', 'Ru025 Ht'];\b265[/\s-]?65\s*R?\s*17\b;45848
47898;Aptany;Ru025Y;225;55;18;225 55 r18;;pneu 225 55 r18 Aptany Ru025Y;['225/55R18', '225 55 R18', 'Aptany', 'Ru025Y'];\b225[/\s-]?55\s*R?\s*18\b;47898
48624;Aptany;Ru101;215;65;17;215 65 r17;;pneu 215 65 r17 Aptany Ru101;['215/65R17', '215 65 R17', 'Aptany', 'Ru101'];\b215[/\s-]?65\s*R?\s*17\b;48624
27774;Aptany;Ru101;235;70;16;235 70 r16;;pneu 235 70 r16 Aptany Ru101;['235/70R16', '235 70 R16', 'Aptany', 'Ru101'];\b235[/\s-]?70\s*R?\s*16\b;27774
47968;Aptany;Ru101;245;70;16;245 70 r16;;pneu 245 70 r16 Aptany Ru101;['245/70R16', '245 70 R16', 'Aptany', 'Ru101'];\b245[/\s-]?70\s*R?\s*16\b;47968
27542;Aptany;Ru101 Expedite;235;60;17;235 60 r17;;pneu 235 60 r17 Aptany Ru101 Expedite;['235/60R17', '235 60 R17', 'Aptany', 'Ru101 Expedite'];\b235[/\s-]?60\s*R?\s*17\b;27542
46263;Aptany;Sportmacro Ra301;215;35;18;215 35 r18;;pneu 215 35 r18 Aptany Sportmacro Ra301;['215/35R18', '215 35 R18', 'Aptany', 'Sportmacro Ra301'];\b215[/\s-]?35\s*R?\s*18\b;46263
47549;Atlander;Xport-66;165;70;14;165 70 r14;;pneu 165 70 r14 Atlander Xport-66;['165/70R14', '165 70 R14', 'Atlander', 'Xport-66'];\b165[/\s-]?70\s*R?\s*14\b;47549
46262;Atlander;Xsport66;185;65;14;185 65 r14;;pneu 185 65 r14 Atlander Xsport66;['185/65R14', '185 65 R14', 'Atlander', 'Xsport66'];\b185[/\s-]?65\s*R?\s*14\b;46262
42225;Austone;A/T Csr34;255;75;15;255 75 r15;;pneu 255 75 r15 Austone A/T Csr34;['255/75R15', '255 75 R15', 'Austone', 'A/T Csr34'];\b255[/\s-]?75\s*R?\s*15\b;42225
37046;Austone;Asr71;225;75;16;225 75 r16;;pneu 225 75 r16 Austone Asr71;['225/75R16', '225 75 R16', 'Austone', 'Asr71'];\b225[/\s-]?75\s*R?\s*16\b;37046
35952;Austone;At78;215;75;17;215 75 r17;;pneu 215 75 r17 Austone At78;['215/75R17', '215 75 R17', 'Austone', 'At78'];\b215[/\s-]?75\s*R?\s*17\b;35952
45529;Austone;Athena Sp302;205;60;15;205 60 r15;;pneu 205 60 r15 Austone Athena Sp302;['205/60R15', '205 60 R15', 'Austone', 'Athena Sp302'];\b205[/\s-]?60\s*R?\s*15\b;45529
38026;Austone;Sp801;195;50;15;195 50 r15;;pneu 195 50 r15 Austone Sp801;['195/50R15', '195 50 R15', 'Austone', 'Sp801'];\b195[/\s-]?50\s*R?\s*15\b;38026
47182;Austone;Sp801;205;70;15;205 70 r15;;pneu 205 70 r15 Austone Sp801;['205/70R15', '205 70 R15', 'Austone', 'Sp801'];\b205[/\s-]?70\s*R?\s*15\b;47182
48325;Bf Goodrich;All Terrain T/A;265;70;16;265 70 r16;;pneu 265 70 r16 Bf Goodrich All Terrain T/A;['265/70R16', '265 70 R16', 'Bf Goodrich', 'All Terrain T/A'];\b265[/\s-]?70\s*R?\s*16\b;48325
15407;Bf Goodrich;All Terrain Ta;245;70;16;245 70 r16;;pneu 245 70 r16 Bf Goodrich All Terrain Ta;['245/70R16', '245 70 R16', 'Bf Goodrich', 'All Terrain Ta'];\b245[/\s-]?70\s*R?\s*16\b;15407
48326;Bf Goodrich;Trail Terrain;265;70;17;265 70 r17;;pneu 265 70 r17 Bf Goodrich Trail Terrain;['265/70R17', '265 70 R17', 'Bf Goodrich', 'Trail Terrain'];\b265[/\s-]?70\s*R?\s*17\b;48326
33074;Bfgoodrich;All Terrain;265;60;18;265 60 r18;;pneu 265 60 r18 Bfgoodrich All Terrain;['265/60R18', '265 60 R18', 'Bfgoodrich', 'All Terrain'];\b265[/\s-]?60\s*R?\s*18\b;33074
48152;Bridgestone;Alenza001;225;50;18;225 50 r18;;pneu 225 50 r18 Bridgestone Alenza001;['225/50R18', '225 50 R18', 'Bridgestone', 'Alenza001'];\b225[/\s-]?50\s*R?\s*18\b;48152
18871;Bridgestone;Dueler A/T Revo 2;175;70;14;175 70 r14;;pneu 175 70 r14 Bridgestone Dueler A/T Revo 2;['175/70R14', '175 70 R14', 'Bridgestone', 'Dueler A/T Revo 2'];\b175[/\s-]?70\s*R?\s*14\b;18871
3240;Bridgestone;Dueler At693;205;70;15;205 70 r15;;pneu 205 70 r15 Bridgestone Dueler At693;['205/70R15', '205 70 R15', 'Bridgestone', 'Dueler At693'];\b205[/\s-]?70\s*R?\s*15\b;3240
5956;Bridgestone;Dueler H/T 684 Ii;265;65;17;265 65 r17;;pneu 265 65 r17 Bridgestone Dueler H/T 684 Ii;['265/65R17', '265 65 R17', 'Bridgestone', 'Dueler H/T 684 Ii'];\b265[/\s-]?65\s*R?\s*17\b;5956
36249;Bridgestone;Dueler H/T 684 Iii;245;65;17;245 65 r17;;pneu 245 65 r17 Bridgestone Dueler H/T 684 Iii;['245/65R17', '245 65 R17', 'Bridgestone', 'Dueler H/T 684 Iii'];\b245[/\s-]?65\s*R?\s*17\b;36249
42585;Bridgestone;Dueler H/T 684 Iii Ecopia;245;70;16;245 70 r16;;pneu 245 70 r16 Bridgestone Dueler H/T 684 Iii Ecopia;['245/70R16', '245 70 R16', 'Bridgestone', 'Dueler H/T 684 Iii Ecopia'];\b245[/\s-]?70\s*R?\s*16\b;42585
23957;Bridgestone;Ecopia Ep150;195;55;15;195 55 r15;;pneu 195 55 r15 Bridgestone Ecopia Ep150;['195/55R15', '195 55 R15', 'Bridgestone', 'Ecopia Ep150'];\b195[/\s-]?55\s*R?\s*15\b;1234567891234
33378;Bridgestone;T005;205;55;17;205 55 r17;;pneu 205 55 r17 Bridgestone T005;['205/55R17', '205 55 R17', 'Bridgestone', 'T005'];\b205[/\s-]?55\s*R?\s*17\b;33378
31810;Bridgestone;Turanza T005;235;45;18;235 45 r18;;pneu 235 45 r18 Bridgestone Turanza T005;['235/45R18', '235 45 R18', 'Bridgestone', 'Turanza T005'];\b235[/\s-]?45\s*R?\s*18\b;31810
48096;Ceat;Ecodrive;185;70;14;185 70 r14;;pneu 185 70 r14 Ceat Ecodrive;['185/70R14', '185 70 R14', 'Ceat', 'Ecodrive'];\b185[/\s-]?70\s*R?\s*14\b;48096
37209;Chengshan;Sportcat Csc302 A/T;265;60;18;265 60 r18;;pneu 265 60 r18 Chengshan Sportcat Csc302 A/T;['265/60R18', '265 60 R18', 'Chengshan', 'Sportcat Csc302 A/T'];\b265[/\s-]?60\s*R?\s*18\b;37209
44683;Chituma;Cp16;185;70;14;185 70 r14;;pneu 185 70 r14 Chituma Cp16;['185/70R14', '185 70 R14', 'Chituma', 'Cp16'];\b185[/\s-]?70\s*R?\s*14\b;44683
44480;Chituma;Cp-16;165;70;13;165 70 r13;;pneu 165 70 r13 Chituma Cp-16;['165/70R13', '165 70 R13', 'Chituma', 'Cp-16'];\b165[/\s-]?70\s*R?\s*13\b;44480
48571;Comforser;Cf1000;265;70;16;265 70 r16;;pneu 265 70 r16 Comforser Cf1000;['265/70R16', '265 70 R16', 'Comforser', 'Cf1000'];\b265[/\s-]?70\s*R?\s*16\b;48571
48399;Comforser;Cf1100;205;60;15;205 60 r15;;pneu 205 60 r15 Comforser Cf1100;['205/60R15', '205 60 R15', 'Comforser', 'Cf1100'];\b205[/\s-]?60\s*R?\s*15\b;48399
48401;Comforser;Cf1100;205;60;16;205 60 r16;;pneu 205 60 r16 Comforser Cf1100;['205/60R16', '205 60 R16', 'Comforser', 'Cf1100'];\b205[/\s-]?60\s*R?\s*16\b;48401
48400;Comforser;Cf1100;205;70;15;205 70 r15;;pneu 205 70 r15 Comforser Cf1100;['205/70R15', '205 70 R15', 'Comforser', 'Cf1100'];\b205[/\s-]?70\s*R?\s*15\b;48400
34170;Comforser;Cf2000;245;65;17;245 65 r17;;pneu 245 65 r17 Comforser Cf2000;['245/65R17', '245 65 R17', 'Comforser', 'Cf2000'];\b245[/\s-]?65\s*R?\s*17\b;34170
34388;Comforser;Cf2000;255;65;17;255 65 r17;;pneu 255 65 r17 Comforser Cf2000;['255/65R17', '255 65 R17', 'Comforser', 'Cf2000'];\b255[/\s-]?65\s*R?\s*17\b;34388
33621;Comforser;Cf2000;265;65;17;265 65 r17;;pneu 265 65 r17 Comforser Cf2000;['265/65R17', '265 65 R17', 'Comforser', 'Cf2000'];\b265[/\s-]?65\s*R?\s*17\b;33621
32859;Comforser;Cf500;215;55;16;215 55 r16;;pneu 215 55 r16 Comforser Cf500;['215/55R16', '215 55 R16', 'Comforser', 'Cf500'];\b215[/\s-]?55\s*R?\s*16\b;32859
34375;Comforser;Cf510;185;60;15;185 60 r15;;pneu 185 60 r15 Comforser Cf510;['185/60R15', '185 60 R15', 'Comforser', 'Cf510'];\b185[/\s-]?60\s*R?\s*15\b;34375
32448;Comforser;Cf510;195;55;15;195 55 r15;;pneu 195 55 r15 Comforser Cf510;['195/55R15', '195 55 R15', 'Comforser', 'Cf510'];\b195[/\s-]?55\s*R?\s*15\b;32448
48030;Comforser;Cf510;195;55;16;195 55 r16;;pneu 195 55 r16 Comforser Cf510;['195/55R16', '195 55 R16', 'Comforser', 'Cf510'];\b195[/\s-]?55\s*R?\s*16\b;48030
48570;Comforser;Tl Cf1000;285;75;16;285 75 r16;;pneu 285 75 r16 Comforser Tl Cf1000;['285/75R16', '285 75 R16', 'Comforser', 'Tl Cf1000'];\b285[/\s-]?75\s*R?\s*16\b;48570
43054;Compasal;Blazer Hp;205;60;16;205 60 r16;;pneu 205 60 r16 Compasal Blazer Hp;['205/60R16', '205 60 R16', 'Compasal', 'Blazer Hp'];\b205[/\s-]?60\s*R?\s*16\b;43054
43808;Compasal;Blazer Uhp;235;45;19;235 45 r19;;pneu 235 45 r19 Compasal Blazer Uhp;['235/45R19', '235 45 R19', 'Compasal', 'Blazer Uhp'];\b235[/\s-]?45\s*R?\s*19\b;43808
46476;Compasal;Blazer Uhp 2;225;45;18;225 45 r18;;pneu 225 45 r18 Compasal Blazer Uhp 2;['225/45R18', '225 45 R18', 'Compasal', 'Blazer Uhp 2'];\b225[/\s-]?45\s*R?\s*18\b;46476
33762;Compasal;Smacher;205;50;17;205 50 r17;;pneu 205 50 r17 Compasal Smacher;['205/50R17', '205 50 R17', 'Compasal', 'Smacher'];\b205[/\s-]?50\s*R?\s*17\b;33762
35475;Compasal;Vanmax;225;65;16;225 65 r16;;pneu 225 65 r16 Compasal Vanmax;['225/65R16', '225 65 R16', 'Compasal', 'Vanmax'];\b225[/\s-]?65\s*R?\s*16\b;35475
46483;Compasal;Versant A/T;265;75;16;265 75 r16;;pneu 265 75 r16 Compasal Versant A/T;['265/75R16', '265 75 R16', 'Compasal', 'Versant A/T'];\b265[/\s-]?75\s*R?\s*16\b;46483
36726;Continental;Barum Bravuris 4X4;265;65;17;265 65 r17;;pneu 265 65 r17 Continental Barum Bravuris 4X4;['265/65R17', '265 65 R17', 'Continental', 'Barum Bravuris 4X4'];\b265[/\s-]?65\s*R?\s*17\b;36726
36529;Continental;Barum Bravuris 5Hm;185;60;14;185 60 r14;;pneu 185 60 r14 Continental Barum Bravuris 5Hm;['185/60R14', '185 60 R14', 'Continental', 'Barum Bravuris 5Hm'];\b185[/\s-]?60\s*R?\s*14\b;36529
36536;Continental;Barum Bravuris 5Hm;185;65;14;185 65 r14;;pneu 185 65 r14 Continental Barum Bravuris 5Hm;['185/65R14', '185 65 R14', 'Continental', 'Barum Bravuris 5Hm'];\b185[/\s-]?65\s*R?\s*14\b;36536
38993;Continental;Barum Bravuris 5Hm;185;70;14;185 70 r14;;pneu 185 70 r14 Continental Barum Bravuris 5Hm;['185/70R14', '185 70 R14', 'Continental', 'Barum Bravuris 5Hm'];\b185[/\s-]?70\s*R?\s*14\b;38993
27978;Continental;Conticrosscontact Lx2;215;60;17;215 60 r17;;pneu 215 60 r17 Continental Conticrosscontact Lx2;['215/60R17', '215 60 R17', 'Continental', 'Conticrosscontact Lx2'];\b215[/\s-]?60\s*R?\s*17\b;27978
45544;Continental;Contipowercontact;205;55;17;205 55 r17;;pneu 205 55 r17 Continental Contipowercontact;['205/55R17', '205 55 R17', 'Continental', 'Contipowercontact'];\b205[/\s-]?55\s*R?\s*17\b;45544
38167;Continental;Contisport Contact;205;45;17;205 45 r17;;pneu 205 45 r17 Continental Contisport Contact;['205/45R17', '205 45 R17', 'Continental', 'Contisport Contact'];\b205[/\s-]?45\s*R?\s*17\b;38167
44269;Continental;Generaltire Altimax One;175;70;14;175 70 r14;;pneu 175 70 r14 Continental Generaltire Altimax One;['175/70R14', '175 70 R14', 'Continental', 'Generaltire Altimax One'];\b175[/\s-]?70\s*R?\s*14\b;44269
36017;Continental;Powercontact 2;185;65;15;185 65 r15;;pneu 185 65 r15 Continental Powercontact 2;['185/65R15', '185 65 R15', 'Continental', 'Powercontact 2'];\b185[/\s-]?65\s*R?\s*15\b;36017
35931;Continental;Powercontact 2;185;70;14;185 70 r14;;pneu 185 70 r14 Continental Powercontact 2;['185/70R14', '185 70 R14', 'Continental', 'Powercontact 2'];\b185[/\s-]?70\s*R?\s*14\b;35931
36629;Continental;Powercontact 2;195;65;15;195 65 r15;;pneu 195 65 r15 Continental Powercontact 2;['195/65R15', '195 65 R15', 'Continental', 'Powercontact 2'];\b195[/\s-]?65\s*R?\s*15\b;36629
18885;Continental;Powercontact 2;205;55;16;205 55 r16;;pneu 205 55 r16 Continental Powercontact 2;['205/55R16', '205 55 R16', 'Continental', 'Powercontact 2'];\b205[/\s-]?55\s*R?\s*16\b;18885
48572;Continental;Powercontact 2;215;60;16;215 60 r16;;pneu 215 60 r16 Continental Powercontact 2;['215/60R16', '215 60 R16', 'Continental', 'Powercontact 2'];\b215[/\s-]?60\s*R?\s*16\b;48572
25708;Continental;Vancontact;225;65;16;225 65 r16;;pneu 225 65 r16 Continental Vancontact;['225/65R16', '225 65 R16', 'Continental', 'Vancontact'];\b225[/\s-]?65\s*R?\s*16\b;25708
30968;Continental;Vancontact Ap;225;75;16;225 75 r16;;pneu 225 75 r16 Continental Vancontact Ap;['225/75R16', '225 75 R16', 'Continental', 'Vancontact Ap'];\b225[/\s-]?75\s*R?\s*16\b;30968
44605;Davanti;Protoura Sport;225;45;18;225 45 r18;;pneu 225 45 r18 Davanti Protoura Sport;['225/45R18', '225 45 R18', 'Davanti', 'Protoura Sport'];\b225[/\s-]?45\s*R?\s*18\b;44605
48626;Davanti;Terratoura;285;75;16;285 75 r16;;pneu 285 75 r16 Davanti Terratoura;['285/75R16', '285 75 R16', 'Davanti', 'Terratoura'];\b285[/\s-]?75\s*R?\s*16\b;48626
48625;Davanti;Terratoura Rwl;265;60;18;265 60 r18;;pneu 265 60 r18 Davanti Terratoura Rwl;['265/60R18', '265 60 R18', 'Davanti', 'Terratoura Rwl'];\b265[/\s-]?60\s*R?\s*18\b;48625
26085;Dayton;D300;295;80;22;295 80 r22;;pneu 295 80 r22 Dayton D300;['295/80R22', '295 80 R22', 'Dayton', 'D300'];\b295[/\s-]?80\s*R?\s*22\b;26085
43623;Delmax;Expresspro;205;75;16;205 75 r16;;pneu 205 75 r16 Delmax Expresspro;['205/75R16', '205 75 R16', 'Delmax', 'Expresspro'];\b205[/\s-]?75\s*R?\s*16\b;43623
46784;Delmax;Furious S1;215;55;18;215 55 r18;;pneu 215 55 r18 Delmax Furious S1;['215/55R18', '215 55 R18', 'Delmax', 'Furious S1'];\b215[/\s-]?55\s*R?\s*18\b;46784
46348;Delmax;Ultimaplus;235;55;17;235 55 r17;;pneu 235 55 r17 Delmax Ultimaplus;['235/55R17', '235 55 R17', 'Delmax', 'Ultimaplus'];\b235[/\s-]?55\s*R?\s*17\b;46348
46528;Delmax;Ultimapro Up1;215;55;16;215 55 r16;;pneu 215 55 r16 Delmax Ultimapro Up1;['215/55R16', '215 55 R16', 'Delmax', 'Ultimapro Up1'];\b215[/\s-]?55\s*R?\s*16\b;46528
47176;Delmax;Ultimato Pro Up1;245;45;18;245 45 r18;;pneu 245 45 r18 Delmax Ultimato Pro Up1;['245/45R18', '245 45 R18', 'Delmax', 'Ultimato Pro Up1'];\b245[/\s-]?45\s*R?\s*18\b;47176
48649;Delmax;Ultimatour;205;70;15;205 70 r15;;pneu 205 70 r15 Delmax Ultimatour;['205/70R15', '205 70 R15', 'Delmax', 'Ultimatour'];\b205[/\s-]?70\s*R?\s*15\b;48649
42508;Dewostone;Wr9001 At;175;80;14;175 80 r14;;pneu 175 80 r14 Dewostone Wr9001 At;['175/80R14', '175 80 R14', 'Dewostone', 'Wr9001 At'];\b175[/\s-]?80\s*R?\s*14\b;42508
46551;Dewostone;Wr9086A Ht;265;70;16;265 70 r16;;pneu 265 70 r16 Dewostone Wr9086A Ht;['265/70R16', '265 70 R16', 'Dewostone', 'Wr9086A Ht'];\b265[/\s-]?70\s*R?\s*16\b;46551
35089;Dewostone;Wr9096;215;45;17;215 45 r17;;pneu 215 45 r17 Dewostone Wr9096;['215/45R17', '215 45 R17', 'Dewostone', 'Wr9096'];\b215[/\s-]?45\s*R?\s*17\b;35089
48147;Double King;Dk728;235;60;16;235 60 r16;;pneu 235 60 r16 Double King Dk728;['235/60R16', '235 60 R16', 'Double King', 'Dk728'];\b235[/\s-]?60\s*R?\s*16\b;48147
45533;Double King;Dk798;215;45;17;215 45 r17;;pneu 215 45 r17 Double King Dk798;['215/45R17', '215 45 R17', 'Double King', 'Dk798'];\b215[/\s-]?45\s*R?\s*17\b;45533
47173;Doubleking;Dk558;215;60;16;215 60 r16;;pneu 215 60 r16 Doubleking Dk558;['215/60R16', '215 60 R16', 'Doubleking', 'Dk558'];\b215[/\s-]?60\s*R?\s*16\b;47173
38767;Doublestar;Dh02;225;40;18;225 40 r18;;pneu 225 40 r18 Doublestar Dh02;['225/40R18', '225 40 R18', 'Doublestar', 'Dh02'];\b225[/\s-]?40\s*R?\s*18\b;38767
45390;Doublestar;Dh03;195;55;16;195 55 r16;;pneu 195 55 r16 Doublestar Dh03;['195/55R16', '195 55 R16', 'Doublestar', 'Dh03'];\b195[/\s-]?55\s*R?\s*16\b;45390
39220;Doublestar;Dh03;195;60;15;195 60 r15;;pneu 195 60 r15 Doublestar Dh03;['195/60R15', '195 60 R15', 'Doublestar', 'Dh03'];\b195[/\s-]?60\s*R?\s*15\b;39220
44684;Doublestar;Dsrs01;215;75;17;215 75 r17;;pneu 215 75 r17 Doublestar Dsrs01;['215/75R17', '215 75 R17', 'Doublestar', 'Dsrs01'];\b215[/\s-]?75\s*R?\s*17\b;44684
41389;Doublestar;Maximum Dh03;205;55;16;205 55 r16;;pneu 205 55 r16 Doublestar Maximum Dh03;['205/55R16', '205 55 R16', 'Doublestar', 'Maximum Dh03'];\b205[/\s-]?55\s*R?\s*16\b;41389
22270;Dunlop;Direzza Dz102;195;50;16;195 50 r16;;pneu 195 50 r16 Dunlop Direzza Dz102;['195/50R16', '195 50 R16', 'Dunlop', 'Direzza Dz102'];\b195[/\s-]?50\s*R?\s*16\b;1234567891234
32851;Dunlop;Dz102;195;50;15;195 50 r15;;pneu 195 50 r15 Dunlop Dz102;['195/50R15', '195 50 R15', 'Dunlop', 'Dz102'];\b195[/\s-]?50\s*R?\s*15\b;32851
17111;Dunlop;Enasave Ec300;185;55;16;185 55 r16;;pneu 185 55 r16 Dunlop Enasave Ec300;['185/55R16', '185 55 R16', 'Dunlop', 'Enasave Ec300'];\b185[/\s-]?55\s*R?\s*16\b;17111
40765;Dunlop;Enasave Ec300+;205;55;16;205 55 r16;;pneu 205 55 r16 Dunlop Enasave Ec300+;['205/55R16', '205 55 R16', 'Dunlop', 'Enasave Ec300+'];\b205[/\s-]?55\s*R?\s*16\b;40765
34808;Dunlop;Enasave Ec300+;215;60;17;215 60 r17;;pneu 215 60 r17 Dunlop Enasave Ec300+;['215/60R17', '215 60 R17', 'Dunlop', 'Enasave Ec300+'];\b215[/\s-]?60\s*R?\s*17\b;34808
47191;Dunlop;Enasave Ec350+;205;60;16;205 60 r16;;pneu 205 60 r16 Dunlop Enasave Ec350+;['205/60R16', '205 60 R16', 'Dunlop', 'Enasave Ec350+'];\b205[/\s-]?60\s*R?\s*16\b;47191
