2025-07-23 15:32:21,012 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DJ9FHFXY
2025-07-23 15:32:21,012 | DEBUG    | amazon.scraper | Card 6: produto não extraído
2025-07-23 15:32:21,056 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F7NFK829
2025-07-23 15:32:21,057 | DEBUG    | amazon.scraper | Card 7: produto não extraído
2025-07-23 15:32:21,112 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DJ9GJP7T
2025-07-23 15:32:21,112 | DEBUG    | amazon.scraper | Card 8: produto não extraído
2025-07-23 15:32:21,140 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B09QH6XGX5
2025-07-23 15:32:21,141 | DEBUG    | amazon.scraper | Card 9: produto não extraído
2025-07-23 15:32:21,203 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0D3FBMDZS
2025-07-23 15:32:21,204 | DEBUG    | amazon.scraper | Card 10: produto não extraído
2025-07-23 15:32:21,244 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0D3F8TRVZ
2025-07-23 15:32:21,244 | DEBUG    | amazon.scraper | Card 11: produto não extraído
2025-07-23 15:32:21,299 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0157HYX94
2025-07-23 15:32:21,307 | DEBUG    | amazon.scraper | Card 12: produto não extraído
2025-07-23 15:32:21,349 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DJ9GTR7Q
2025-07-23 15:32:21,349 | DEBUG    | amazon.scraper | Card 13: produto não extraído
2025-07-23 15:32:21,397 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07KT966R9
2025-07-23 15:32:21,398 | DEBUG    | amazon.scraper | Card 14: produto não extraído
2025-07-23 15:32:21,468 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0C9SMSNGY
2025-07-23 15:32:21,470 | DEBUG    | amazon.scraper | Card 15: produto não extraído
2025-07-23 15:32:21,593 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DJ9G7MVC
2025-07-23 15:32:21,594 | DEBUG    | amazon.scraper | Card 16: produto não extraído
2025-07-23 15:32:21,641 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DPXDXJDP
2025-07-23 15:32:21,642 | DEBUG    | amazon.scraper | Card 17: produto não extraído
2025-07-23 15:32:21,687 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B09BP2XDWD
2025-07-23 15:32:21,688 | DEBUG    | amazon.scraper | Card 18: produto não extraído
2025-07-23 15:32:21,724 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0D3F7TY8L
2025-07-23 15:32:21,725 | DEBUG    | amazon.scraper | Card 19: produto não extraído
2025-07-23 15:32:21,765 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B086Q4Z6FG
2025-07-23 15:32:21,766 | DEBUG    | amazon.scraper | Card 20: produto não extraído
2025-07-23 15:32:21,821 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0861HVD1R
2025-07-23 15:32:21,822 | DEBUG    | amazon.scraper | Card 21: produto não extraído
2025-07-23 15:32:21,874 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B09MJH7V8N
2025-07-23 15:32:21,875 | DEBUG    | amazon.scraper | Card 22: produto não extraído
2025-07-23 15:32:21,917 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B08Q8P18X7
2025-07-23 15:32:21,917 | DEBUG    | amazon.scraper | Card 23: produto não extraído
2025-07-23 15:32:21,959 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DMGQPYX9
2025-07-23 15:32:21,960 | DEBUG    | amazon.scraper | Card 24: produto não extraído
2025-07-23 15:32:22,009 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B09RFBB9DM
2025-07-23 15:32:22,010 | DEBUG    | amazon.scraper | Card 25: produto não extraído
2025-07-23 15:32:22,073 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0CS77JM24
2025-07-23 15:32:22,074 | DEBUG    | amazon.scraper | Card 26: produto não extraído
2025-07-23 15:32:22,107 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0CCW6RHGD
2025-07-23 15:32:22,107 | DEBUG    | amazon.scraper | Card 27: produto não extraído
2025-07-23 15:32:22,169 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DHLQ8X6Y
2025-07-23 15:32:22,169 | DEBUG    | amazon.scraper | Card 28: produto não extraído
2025-07-23 15:32:22,203 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07Z82FSC7
2025-07-23 15:32:22,205 | DEBUG    | amazon.scraper | Card 29: produto não extraído
2025-07-23 15:32:22,242 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07XFRJX9H
2025-07-23 15:32:22,243 | DEBUG    | amazon.scraper | Card 30: produto não extraído
2025-07-23 15:32:22,281 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DJ9F6JBC
2025-07-23 15:32:22,281 | DEBUG    | amazon.scraper | Card 31: produto não extraído
2025-07-23 15:32:22,310 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0CQ645VTL
2025-07-23 15:32:22,310 | DEBUG    | amazon.scraper | Card 32: produto não extraído
2025-07-23 15:32:22,344 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07YNZ1VNZ
2025-07-23 15:32:22,344 | DEBUG    | amazon.scraper | Card 33: produto não extraído
2025-07-23 15:32:22,383 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B09R2F1X4C
2025-07-23 15:32:22,384 | DEBUG    | amazon.scraper | Card 34: produto não extraído
2025-07-23 15:32:22,429 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07P24617K
2025-07-23 15:32:22,429 | DEBUG    | amazon.scraper | Card 35: produto não extraído
2025-07-23 15:32:22,449 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F1DRCPN9
2025-07-23 15:32:22,449 | DEBUG    | amazon.scraper | Card 36: produto não extraído
2025-07-23 15:32:22,498 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0CCW5QZYC
2025-07-23 15:32:22,499 | DEBUG    | amazon.scraper | Card 37: produto não extraído
2025-07-23 15:32:22,530 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B085DCLKB5
2025-07-23 15:32:22,531 | DEBUG    | amazon.scraper | Card 38: produto não extraído
2025-07-23 15:32:22,564 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07P385VSB
2025-07-23 15:32:22,571 | DEBUG    | amazon.scraper | Card 39: produto não extraído
2025-07-23 15:32:22,597 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F63LVRZ6
2025-07-23 15:32:22,604 | DEBUG    | amazon.scraper | Card 40: produto não extraído
2025-07-23 15:32:22,660 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0878ZTK15
2025-07-23 15:32:22,660 | DEBUG    | amazon.scraper | Card 41: produto não extraído
2025-07-23 15:32:22,679 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B08Q1LJ1YP
2025-07-23 15:32:22,679 | DEBUG    | amazon.scraper | Card 42: produto não extraído
2025-07-23 15:32:22,730 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0CSPPPVFJ
2025-07-23 15:32:22,730 | DEBUG    | amazon.scraper | Card 43: produto não extraído
2025-07-23 15:32:22,750 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0CQ6CFQ8J
2025-07-23 15:32:22,750 | DEBUG    | amazon.scraper | Card 44: produto não extraído
2025-07-23 15:32:22,781 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B08F2PDXST
2025-07-23 15:32:22,782 | DEBUG    | amazon.scraper | Card 45: produto não extraído
2025-07-23 15:32:22,825 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F1DSJSS1
2025-07-23 15:32:22,826 | DEBUG    | amazon.scraper | Card 46: produto não extraído
2025-07-23 15:32:22,848 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B00CJDXN64
2025-07-23 15:32:22,855 | DEBUG    | amazon.scraper | Card 47: produto não extraído
2025-07-23 15:32:22,856 | INFO     | amazon.scraper | Página 1: 0 produtos coletados
2025-07-23 15:32:29,061 | DEBUG    | amazon.scraper | URL criada: https://www.amazon.com.br/s?k=pneu+175+70+r13+goodyear+assurance&s=price-asc-rank&page=2&ref=sr_pg_2
2025-07-23 15:32:29,062 | INFO     | amazon.scraper | 🔎 'pneu 175 70 r13 goodyear assurance' – página 2
2025-07-23 15:32:34,124 | INFO     | amazon.scraper | 12 cards encontrados na página 2
2025-07-23 15:32:34,156 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B086VRRV8G
2025-07-23 15:32:34,156 | DEBUG    | amazon.scraper | Card 0: produto não extraído
2025-07-23 15:32:34,190 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B086WNSG3P
2025-07-23 15:32:34,190 | DEBUG    | amazon.scraper | Card 1: produto não extraído
2025-07-23 15:32:34,238 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B078WYMRZD
2025-07-23 15:32:34,244 | DEBUG    | amazon.scraper | Card 2: produto não extraído
2025-07-23 15:32:34,267 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B086XY15VY
2025-07-23 15:32:34,267 | DEBUG    | amazon.scraper | Card 3: produto não extraído
2025-07-23 15:32:34,296 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07Z5BHKWH
2025-07-23 15:32:34,296 | DEBUG    | amazon.scraper | Card 4: produto não extraído
2025-07-23 15:32:34,334 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07WZVDFHW
2025-07-23 15:32:34,334 | DEBUG    | amazon.scraper | Card 5: produto não extraído
2025-07-23 15:32:34,373 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B07WL74VXQ
2025-07-23 15:32:34,373 | DEBUG    | amazon.scraper | Card 6: produto não extraído
2025-07-23 15:32:34,415 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F7ZC5S8S
2025-07-23 15:32:34,416 | DEBUG    | amazon.scraper | Card 7: produto não extraído
2025-07-23 15:32:34,472 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F7Y4PPP1
2025-07-23 15:32:34,472 | DEBUG    | amazon.scraper | Card 8: produto não extraído
2025-07-23 15:32:34,502 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F3JS167H
2025-07-23 15:32:34,502 | DEBUG    | amazon.scraper | Card 9: produto não extraído
2025-07-23 15:32:34,554 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F7Z3P1XN
2025-07-23 15:32:34,554 | DEBUG    | amazon.scraper | Card 10: produto não extraído
2025-07-23 15:32:34,630 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F4RTF3TW
2025-07-23 15:32:34,630 | DEBUG    | amazon.scraper | Card 11: produto não extraído
2025-07-23 15:32:34,631 | INFO     | amazon.scraper | Página 2: 0 produtos coletados
2025-07-23 15:32:34,639 | INFO     | amazon.scraper | Botão 'próxima página' não encontrado
2025-07-23 15:32:34,639 | INFO     | amazon.scraper | Total coletado para 'pneu 175 70 r13 goodyear assurance': 0 produtos
2025-07-23 15:32:36,874 | INFO     | amazon.scraper | ✅ Arquivo salvo em C:\Users\user\Desktop\Precificação AI\PriceMonitor\amazon\data\processed\amazon\amazon_pneu_175_70_r13_goodyear_assurance_20250723_153236.json
2025-07-23 16:02:33,157 | INFO     | amazon.scraper | Chrome iniciado (headless=True, proxy=None)
2025-07-23 16:02:33,158 | INFO     | amazon.scraper | 🚀 Iniciando busca por: 'pneu 175 70 r13 goodyear assurance'
2025-07-23 16:02:33,159 | DEBUG    | amazon.scraper | URL criada: https://www.amazon.com.br/s?k=pneu+175+70+r13+goodyear+assurance&s=price-asc-rank&page=1&ref=sr_pg_1
2025-07-23 16:02:33,159 | INFO     | amazon.scraper | 🔎 'pneu 175 70 r13 goodyear assurance' – página 1
2025-07-23 16:02:37,989 | INFO     | amazon.scraper | 48 cards encontrados na página 1
2025-07-23 16:02:38,046 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0D3F99Z9J
2025-07-23 16:02:38,046 | DEBUG    | amazon.scraper | Card 0: produto não extraído
2025-07-23 16:02:38,091 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0D3F9SB43
2025-07-23 16:02:38,092 | DEBUG    | amazon.scraper | Card 1: produto não extraído
2025-07-23 16:02:38,171 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DJ1DLQV6
2025-07-23 16:02:38,173 | DEBUG    | amazon.scraper | Card 2: produto não extraído
2025-07-23 16:02:38,203 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0D3FBMNKN
2025-07-23 16:02:38,204 | DEBUG    | amazon.scraper | Card 3: produto não extraído
2025-07-23 16:02:38,267 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B00E1ZZU00
2025-07-23 16:02:38,267 | DEBUG    | amazon.scraper | Card 4: produto não extraído
2025-07-23 16:02:38,310 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B09QH65LD4
2025-07-23 16:02:38,310 | DEBUG    | amazon.scraper | Card 5: produto não extraído
2025-07-23 16:02:38,368 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0D3F94Y4P
2025-07-23 16:02:38,370 | DEBUG    | amazon.scraper | Card 6: produto não extraído
2025-07-23 16:02:38,429 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0131F20L2
2025-07-23 16:02:38,430 | DEBUG    | amazon.scraper | Card 7: produto não extraído
2025-07-23 16:02:38,491 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0DJ9FHFXY
2025-07-23 16:02:38,491 | DEBUG    | amazon.scraper | Card 8: produto não extraído
2025-07-23 16:02:38,536 | DEBUG    | amazon.scraper | Título não encontrado para ASIN: B0F7NFK829
2025-07-23 16:02:38,537 | DEBUG    | amazon.scraper | Card 9: produto não extraído
