marketplace,rows,missing_brand_pct,missing_model_pct,missing_size_pct
mercadolivre,12508,0.0320594819315638,0.1451870802686281,0.31395906619763353
magazineluiza,10591,0.0,0.14635067510150127,0.026437541308658295
pneustore,3839,0.0,0.210992445949466,0.0
nan,144,1.0,1.0,1.0
