query,searched_part,searched_brand,url,title,price,currency,price_num,seller,matched_part,matched_brand,part_match,brand_match,sale_type,units,price_per_unit,desc_excerpt,source,spec:Marca,spec:Código do Produto,spec:NCM,spec:Garantia,spec:Conteúdo,spec:Posição,spec:Código da Montadora,spec:Aplicação,spec:Código de barras,spec:Composição,spec:Lado
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1963510/bucha-da-bandeja-sampel-2756-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,Sampel,2756,40169990,12 Meses,Unitário,Dianteira,Original Ford: 2S653063AB,FORD ECOSPORT 2007 | FREESTYLE 1.6 L 8V SOHC L4 - FORD ECOSPORT 2008 | Todas as versões - FORD ECOSPORT 2009 | Todas as versões - FORD ECOSPORT 2010 | VER MAIS,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899339/bucha-bandeja-dianteira-jahu-25031-6-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,Jahu,25031-6,,,,,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1429166/bucha-bandeja-dianteira-jahu-12235-4-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,Jahu,12235-4,,,,,Nakata: NB15004,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1027983/bucha-da-bandeja-dianteira-mobensani-mb-9058-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,Mobensani,MB 9058,40169990,06 Meses,,Dianteira,Citroen: 13.0050.7080 3523.93,CITROEN JUMPER 1995 | Todas as versões - CITROEN JUMPER 1996 | Todas as versões - CITROEN JUMPER 1997 | Todas as versões - CITROEN JUMPER 1998 | Todas VER MAIS,7898261415984,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1028048/bucha-da-bandeja-dianteira-mobensani-mb-9087-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,Mobensani,MB 9087,87088000,06 Meses,,Traseira,Peugeot: 3523.51 96.106.474,CITROEN AX 1992 | Todas as versões - CITROEN AX 1993 | Todas as versões - CITROEN AX 1994 | Todas as versões - CITROEN AX 1995 | Todas as versões - PE VER MAIS,7898261416271,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1035292/bucha-da-bandeja-dianteira-mobensani-mb-9283-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,Mobensani,MB 9283,40169990,06 Meses,,Dianteira,Hyundai: 54551-2E000,HYUNDAI I30 2010 | Todas as versões - HYUNDAI I30 2011 | Todas as versões - HYUNDAI I30 2012 | Todas as versões - HYUNDAI I30 2013 | Todas as versões VER MAIS,7898429263921,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1864190/bucha-da-bandeja-dianteira-cofap-buc01107-unitario,Onde você está?,,,,,,Cofap,0,0,UNIDADE,1,,,canaldapeca,Cofap,BUC01107,40169990,03 Meses,,,Volkswagen: 857407181 Original Volkswagen: 857407181,VOLKSWAGEN QUANTUM 1994 | Todas as versões - VOLKSWAGEN QUANTUM 1995 | Todas as versões - VOLKSWAGEN QUANTUM 1996 | Todas as versões - VOLKSWAGEN QUAN VER MAIS,7891579322913,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899063/bucha-bandeja-dianteira-suspensao-dianteira-jahu-05529-4-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,Jahu,05529-4,,,,,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899467/bucha-bandeja-dianteira-suspensao-dianteira-jahu-05845-5-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,Jahu,05845-5,,,,,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/7597765/bucha-dianteira-da-bandeja-da-suspensao-dianteira-monroe-axios-lt80249-unitario,Onde você está?,,,,,,Monroe Axios,0,0,UNIDADE,1,,,canaldapeca,Monroe Axios,LT80249,,,,,Honda: 5139TR0305,HONDA CIVIC 2012 | LXL 1.8 L 16V SOHC L4 | LXS 1.8 L 16V SOHC L4 | LXS AUTOMATICO 1.8 L 16V SOHC L4 - HONDA CIVIC 2013 | LXL 1.8 L 16V SOHC L4 | LXS 1 VER MAIS,,Unitário,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1825150/bucha-dianteira-da-bandeja-inferior-dianteira-borflex-455-unitario,Onde você está?,,,,,,Borflex,0,0,UNIDADE,1,,,canaldapeca,Borflex,455,,,Unitário,Dianteira,Chevrolet: 14.041.609 93.366.496,CHEVROLET BLAZER 1995 | DLX EFI 2.2 L 8V SOHC L4 - CHEVROLET BLAZER 1996 | Todas as versões - CHEVROLET BLAZER 1997 | Todas as versões - CHEVROLET BLA VER MAIS,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1204795/bucha-dianteira-da-bandeja-dianteira-borflex-781-unitario,Onde você está?,,,,,,Borflex,0,0,UNIDADE,1,,,canaldapeca,Borflex,781,4016.99.90,,Unitário,Dianteira,Fiat: 46.423.823,ALFA ROMEO 145 1996 | Todas as versões - ALFA ROMEO 145 1997 | Todas as versões - ALFA ROMEO 145 1998 | Todas as versões - ALFA ROMEO 145 1999 | Todas VER MAIS,7897417606665,,"Direito, Esquerdo"
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1224673/bucha-dianteira-da-bandeja-dianteira-borflex-227-unitario,Onde você está?,,,,,,Borflex,0,0,UNIDADE,1,,,canaldapeca,Borflex,227,4016.99.90,,Unitário,Dianteira,Original Ford: 2S653063AA Ford: 2S653063AA,FORD ECOSPORT 2003 | 4X4 | 4X2 - FORD ECOSPORT 2004 | 4X4 | 4X2 - FORD ECOSPORT 2005 | 4X4 | 4X2 - FORD ECOSPORT 2006 | 4X4 | 4X2 - FORD ECOSPORT 2007 VER MAIS,7897417601318,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899120/bucha-bandeja-dianteira-jahu-12792-2-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,Jahu,12792-2,,,,,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899177/bucha-bandeja-dianteira-jahu-06300-8-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,Jahu,06300-8,,,,,,TOYOTA HILUX 2002 | CD DX 3.0 4X4 3.0 L 8V OHC L4 - TOYOTA HILUX 2003 | CD DX 3.0 4X4 3.0 L 8V OHC L4 - TOYOTA HILUX 2004 | CD DX 3.0 4X4 3.0 L 8V OHC VER MAIS,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899242/bucha-bandeja-dianteira-jahu-06185-1-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,Jahu,06185-1,,,,,,TOYOTA COROLLA 1998 | XLI 1.6 L 16V DOHC L4 | SE 1.8 L 16V DOHC L4 | XEI 1.8 L 16V DOHC L4 - TOYOTA COROLLA 1999 | XLI 1.6 L 16V DOHC L4 | SE 1.8 L 16 VER MAIS,,,
